Position,"Track Name",Artist,Streams,URL
167,"Wildest Dreams (Taylor's Version)","Taylor Swift",813427,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL
168,Sky,"Playboi Carti",813212,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
169,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)","DJ Patrick Muniz",812405,https://open.spotify.com/track/0DsPj89zlY3Us7xb5cXK5h
170,Levitating,"Dua Lipa",809382,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
171,A-O-K,"Tai Verdes",805280,https://open.spotify.com/track/1sx0XsWUusUoPstbvokZjP
172,Riptide,"Vance Joy",805204,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
173,"we fell in love in october","girl in red",797059,https://open.spotify.com/track/1BYZxKSf0aTxp8ZFoeyM3d
174,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",790468,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
175,"Every Breath You Take","The Police",784610,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
176,"Blank Space","Taylor Swift",783709,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
177,Thunder,"Gabry Ponte",782855,https://open.spotify.com/track/2USlegnFJLrVLpoVfPimKB
178,Photograph,"Ed Sheeran",781911,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
179,"7 rings","Ariana Grande",781307,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
180,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)","Nardo Wick",781060,https://open.spotify.com/track/4yNoUQkYf1QF8iYlEzNynH
181,"Venom - Music From The Motion Picture",Eminem,779176,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
182,"Bubbly (with Drake & Travis Scott)","Young Thug",778412,https://open.spotify.com/track/4KDNRh9Oor80z3XIxdWlui
183,"Wake Me Up",Avicii,775523,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
184,Unfollow,Duki,775210,https://open.spotify.com/track/6GsD646HrIDJJpzoY9T1Rt
185,"She Knows (feat. Amber Coffman & Cults)","J. Cole",774719,https://open.spotify.com/track/0Fs9cdPDhptWEDJmiCbkEW
186,"Adore You","Harry Styles",767006,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
187,"Head & Heart (feat. MNEK)","Joel Corry",764939,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
188,"911 - Remix",Sech,763393,https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A
189,"Have Mercy",Chlöe,762259,https://open.spotify.com/track/5SixeLvPsYpk7qq9lo5xYg
190,"The Hills","The Weeknd",761835,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
191,Falling,"Harry Styles",758219,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
192,"FEEL ME??",Trueno,757295,https://open.spotify.com/track/4kELKaXaNP4EQR8Q8xNIID
193,"Something Just Like This","The Chainsmokers",755942,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
194,"'Till I Collapse",Eminem,755616,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
195,"Revoada No Colchão","Zé Felipe",755475,https://open.spotify.com/track/4kGdnA7FzSVsXC29LPghej
196,"Roses - Imanbek Remix","SAINt JHN",747315,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
197,LOCO,ITZY,744231,https://open.spotify.com/track/59c0HrzmHfyQs6LgDw5cHe
198,Payphone,"Maroon 5",744057,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A
199,"Bala Love","Mc Anjim",742914,https://open.spotify.com/track/48Ll1C6qAnP2UjnopQDh4a
200,"Lucid Dreams","Juice WRLD",742796,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
